movie_id,name en,name it,name de,first_release,actors
Q3801189,"Io non protesto, io amo","Io non protesto, io amo","Io non protesto, io amo",1967,Terence Hill
Q3811039,Juke box - Urli d'amore,"Juke-box, urli d'amore",,1959,Terence Hill
Q3822300,The Crazy Kids of the War,La feldmarescialla,Die Helden der Kompanie,1967,Terence Hill
Q3822655,La grande strada azzurra,La grande strada azzurra,Die große blaue Straße,1957,Terence Hill
Q3828227,Lazzarella,Lazzarella,,1957,Terence Hill
Q3844156,,Mamma sconosciuta,,1956,Terence Hill
Q3921867,First Love,Primo amore,Junge Leute von heute,1959,Terence Hill
Q3998121,Three Days of Anarchy,Tre giorni d'anarchia,Tre giorni d’anarchia,2004,Terence Hill
Q4003928,Un militare e mezzo,Un militare e mezzo,,1960,Terence Hill
Q4011833,It Happened in the Park,Villa Borghese,Römischer Reigen,1953,Terence Hill
Q7158603,Pecado de amor,,,1961,Terence Hill
Q7939569,Voice of Silence,La voce del silenzio,Männer ohne Tränen,1953,Terence Hill
Q15857347,Triggerman,,Doc West – Nobody schlägt zurück,2009,Terence Hill
Q20004776,Too Young for Love,L'età dell'amore,Erste Liebe,1953,Terence Hill
Q28064472,Org,Org,Org,1979,Terence Hill
Q30889321,My Name Is Thomas,La chiamavano Maryam,Mein Name ist Somebody,2018,Terence Hill
